nr_instances,log_nr_instances,nr_features,log_nr_features,nr_classes,nr_numerical_features,nr_categorical_features,ratio_num_cat,class_entropy,missing_val,ratio_missing_val,max_prob,min_prob,mean_prob,std_dev,dataset_ratio,symbols_sum,symbols_mean,symbols_std_dev,skew_min,skew_max,skew_mean,skew_std_dev,kurtosis_min,kurtosis_max,kurtosis_mean,kurtosis_std_dev,AlgorithmId,y3
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,0,0
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,1,0
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,2,1
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,3,1
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,4,0
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,5,0
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,6,1
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,7,0
199523,12.2036848,41,3.713572067,2,17,24,1.411764706,0.232593052,0,0,0.937941992,0.062058008,0.5,0.619343504,2.05E-04,2.16E+07,0,0,0.210167762,27.78629289,5.546605098,7.150615732,-1.863789191,1090.536395,107.5580623,263.2856898,8,0
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,0,1
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,1,0
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,2,1
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,3,1
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,4,0
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,5,0
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,6,0
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,7,0
4898431,15.40442551,41,3.713572067,23,27,13,0.481481481,1.030950586,0,0,0.573221507,4.08E-07,0.043478261,0.130115283,8.37E-06,4440359,0,0,-2.769936286,1807.566663,234.3372445,534.6467282,-1.904056718,3533295.448,395339.839,982923.5885,8,0
