Y1,
RandomForestClassifier,Accuracy:0.7716535433070866,precision:0.773168795077086,Recall:0.7716535433070866,F-Score:0.7723614446735694
LogisticRegression,Accuracy:0.6771653543307087,precision:0.45855291710583423,Recall:0.6771653543307087,F-Score:0.5468189715722155
DecisionTreeClassifier,Accuracy:0.7322834645669292,precision:0.7290439219573077,Recall:0.7322834645669292,F-Score:0.7304756086523667
MultilayerPerceptronClassifier,Accuracy:0.5196850393700787,precision:0.58984905202796,Recall:0.5196850393700788,F-Score:0.5349534912942291
LinearSVC,Accuracy:0.7165354330708661,precision:0.7165354330708662,Recall:0.7165354330708662,F-Score:0.7165354330708662
NaiveBayes,Accuracy:0.6099290780141844,precision:0.6114054871697328,Recall:0.6099290780141844,F-Score:0.6106373509833443
GBTClassifier,Accuracy:0.7322834645669292,precision:0.7322834645669292,Recall:0.7322834645669292,F-Score:0.7322834645669292
LDA,Accuracy:0.6850393700787402,precision:0.7192515708263739,Recall:0.6850393700787402,F-Score:0.6940512973852951
QDA,Accuracy:0.4566929133858268,precision:0.6053462911730628,Recall:0.4566929133858268,F-Score:0.4500840764854124
Best Algorithm Accuracy: RandomForestClassifier, Accuracy = 0.7716535433070866
Best Algorithm Precision: RandomForestClassifier, Precision = 0.773168795077086
Best Algorithm Recall: RandomForestClassifier, Recall = 0.7716535433070866
Best Algorithm F-Score: RandomForestClassifier, F-Score = 0.7723614446735694
Y2,
RandomForestClassifier,Accuracy:0.6620689655172414,precision:0.6152490421455938,Recall:0.6620689655172414,F-Score:0.5789065405663885
LogisticRegression,Accuracy:0.6620689655172414,precision:0.43833531510107016,Recall:0.6620689655172414,F-Score:0.5274574331091716
DecisionTreeClassifier,Accuracy:0.7241379310344828,precision:0.7215176606225763,Recall:0.7241379310344827,F-Score:0.7226863372437494
MultilayerPerceptronClassifier,Accuracy:0.6413793103448275,precision:0.6343908045977011,Recall:0.6413793103448275,F-Score:0.6374084776977555
LinearSVC,Accuracy:0.6620689655172414,precision:0.43833531510107016,Recall:0.6620689655172414,F-Score:0.5274574331091716
NaiveBayes,Accuracy:0.6885245901639344,precision:0.49344262295081964,Recall:0.6885245901639344,F-Score:0.5748846092630909
GBTClassifier,Accuracy:0.7103448275862069,precision:0.7075718328417206,Recall:0.710344827586207,F-Score:0.7088206541059368
LDA,Accuracy:0.6068965517241379,precision:0.5620689655172414,Recall:0.6068965517241379,F-Score:0.572669875049671
QDA,Accuracy:0.4896551724137931,precision:0.4844385883480318,Recall:0.4896551724137931,F-Score:0.4869697239009361
Best Algorithm Accuracy: DecisionTreeClassifier, Accuracy = 0.7241379310344828
Best Algorithm Precision: DecisionTreeClassifier, Precision = 0.7215176606225763
Best Algorithm Recall: DecisionTreeClassifier, Recall = 0.7241379310344827
Best Algorithm F-Score: DecisionTreeClassifier, F-Score = 0.7226863372437494
Y3,
RandomForestClassifier,Accuracy:0.697841726618705,precision:0.6598940627717605,Recall:0.697841726618705,F-Score:0.637322574372934
LogisticRegression,Accuracy:0.6906474820143885,precision:0.47699394441281506,Recall:0.6906474820143885,F-Score:0.5642736874330323
DecisionTreeClassifier,Accuracy:0.762589928057554,precision:0.7526872619551419,Recall:0.762589928057554,F-Score:0.7540304643278981
MultilayerPerceptronClassifier,Accuracy:0.697841726618705,precision:0.6806068010085929,Recall:0.697841726618705,F-Score:0.6854420580263252
LinearSVC,Accuracy:0.6906474820143885,precision:0.47699394441281506,Recall:0.6906474820143885,F-Score:0.5642736874330323
NaiveBayes,Accuracy:0.6864406779661016,precision:0.4712008043665613,Recall:0.6864406779661016,F-Score:0.5588110041734095
GBTClassifier,Accuracy:0.7266187050359713,precision:0.7172627557731239,Recall:0.7266187050359711,F-Score:0.7205090473076085
LDA,Accuracy:0.6762589928057554,precision:0.6549262926107712,Recall:0.6762589928057554,F-Score:0.6612892936882022
QDA,Accuracy:0.4748201438848921,precision:0.5180499278737929,Recall:0.47482014388489213,F-Score:0.4915652643181645
Best Algorithm Accuracy: DecisionTreeClassifier, Accuracy = 0.762589928057554
Best Algorithm Precision: DecisionTreeClassifier, Precision = 0.7526872619551419
Best Algorithm Recall: DecisionTreeClassifier, Recall = 0.762589928057554
Best Algorithm F-Score: DecisionTreeClassifier, F-Score = 0.7540304643278981
